Character Counts:
operatic: 1
stage: 2
living: 2
became: 4
entangled: 1
young: 5
compromising: 1
letters: 3
desirous: 1
secret: 1
papers: 2
certificates: 1
follow: 4
produce: 1
blackmailing: 1
purposes: 1
prove: 2
authenticity: 1
pooh: 2
forgery: 1
private: 3
stolen: 2
seal: 1
imitated: 1
photograph: 21
oh: 8
committed: 2
indiscretion: 1
mad: 1
insane: 1
compromised: 1
prince: 1
thirty: 1
recovered: 1
tried: 1
failed: 1
pay: 7
sell: 1
attempts: 2
burglars: 1
ransacked: 2
diverted: 1
luggage: 1
travelled: 1
waylaid: 2
result: 1
sign: 1
absolutely: 3
laughed: 4
pretty: 1
serious: 2
reproachfully: 1
does: 7
propose: 1
ruin: 2
married: 5
clotilde: 1
lothman: 1
saxe: 1
meningen: 1
second: 1
daughter: 1
scandinavia: 1
strict: 2
principles: 1
herself: 2
shadow: 1
conduct: 1
bring: 4
threatens: 1
send: 2
them: 12
steel: 2
beautiful: 2
women: 3
resolute: 2
marry: 2
another: 7
lengths: 1
day: 9
betrothal: 1
publicly: 1
proclaimed: 1
next: 2
monday: 2
three: 11
days: 2
yawn: 1
fortunate: 2
langham: 1
shall: 11
drop: 1
line: 1
progress: 1
anxiety: 1
carte: 1
blanche: 1
provinces: 1
kingdom: 2
expenses: 1
chamois: 1
bag: 1
laid: 3
gold: 2
notes: 1
scribbled: 1
receipt: 1
book: 1
handed: 1
mademoiselle: 1
briony: 11
lodge: 11
serpentine: 5
avenue: 4
st: 5
john: 4
wood: 1
question: 3
cabinet: 2
soon: 3
news: 2
added: 1
rolled: 1
morrow: 3
afternoon: 1
chat: 1
landlady: 2
informed: 1
shortly: 1
after: 13
morning: 9
sat: 3
beside: 2
intention: 2
awaiting: 1
already: 6
inquiry: 2
surrounded: 1
grim: 1
features: 2
crimes: 2
recorded: 1
exalted: 1
station: 3
gave: 4
apart: 1
investigation: 1
something: 3
masterly: 1
grasp: 1
situation: 2
pleasure: 1
quick: 4
su: 1
btle: 1
methods: 1
disentangled: 1
inextricable: 1
invariable: 1
success: 2
possibility: 2
failing: 1
ceased: 1
enter: 2
close: 2
four: 2
opened: 2
drunken: 1
looking: 5
groom: 2
ill: 2
kempt: 1
whiskered: 1
inflamed: 1
disreputable: 1
walked: 3
amazing: 1
use: 6
disguises: 1
certain: 1
nod: 1
vanished: 1
bedroom: 3
whence: 1
emerged: 2
minutes: 14
tweed: 1
suited: 2
respectable: 1
pockets: 2
stretched: 2
legs: 1
front: 8
heartily: 2
really: 5
choked: 2
obliged: 1
lie: 2
limp: 1
helpless: 1
funny: 1
guess: 1
employed: 2
ended: 1
suppose: 1
watching: 2
habits: 2
perhaps: 4
sequel: 1
unusual: 1
wonderful: 1
sympathy: 2
freemasonry: 2
horsey: 1
bijou: 1
villa: 1
garden: 2
built: 1
road: 3
stories: 1
chubb: 1
lock: 1
furnished: 1
windows: 2
floor: 1
preposterous: 2
fasteners: 1
child: 1
reached: 3
coach: 1
closely: 2
view: 2
noting: 1
interest: 4
lounged: 2
expected: 2
mews: 3
lane: 2
runs: 1
wall: 1
lent: 1
ostlers: 2
rubbing: 1
exchange: 1
twopence: 1
fills: 1
shag: 1
tobacco: 1
dozen: 2
people: 4
neighbourhood: 2
least: 2
whose: 2
biographies: 1
compelled: 2
listen: 1
turned: 4
heads: 3
daintiest: 1
bonnet: 1
planet: 1
lives: 1
quietly: 2
sings: 2
concerts: 1
drives: 1
returns: 2
dinner: 1
goes: 1
except: 2
male: 2
deal: 2
handsome: 2
dashing: 1
calls: 1
mr: 32
godfrey: 5
norton: 7
inner: 1
temple: 4
advantages: 1
cabman: 2
confidant: 1
driven: 1
listened: 3
began: 4
near: 4
plan: 2
campaign: 1
evidently: 2
lawyer: 3
sounded: 1
ominous: 1
relation: 1
object: 4
repeated: 1
visits: 1
